ROW,COL.,Sample name,Sample type,Library type,Barcode 1,Barcode 2,Conc.,Volume,Library conc.,Library vol.,Genotyping,DATA_QC,NGS sample ID,NGS request #,Notes
A,1,F2_D2,Grown at 4C,,,,,,,,,,,,
B,1,F2_D1,Grown at 4C,,,,,,,,,,,,
C,1,F2_D2,Grown at 4C,,,,,,,,,,,,
D,1,F2_D2,Grown at 4C,,,,,,,,,,,,
E,1,F2_D1,Grown at 4C,,,,,,,,,,,,
F,1,F2_D1,Grown at 4C,,,,,,,,,,,,
G,1,F2_D1,Grown at 4C,,,,,,,,,,,,
H,1,F2_D1,Grown at 4C,,,,,,,,,,,,
A,2,F2_D1,Grown at 4C,,,,,,,,,,,,
B,2,F2_D2,Grown at 4C,,,,,,,,,,,,
C,2,F2_D2,Grown at 4C,,,,,,,,,,,,
D,2,F2_D1,Grown at 4C,,,,,,,,,,,,
E,2,F2_D2,Grown at 4C,,,,,,,,,,,,
F,2,F2_D2,Grown at 4C,,,,,,,,,,,,
G,2,P_6191,Grown at 4C,,,,,,,,,,,,
H,2,F2_D2,Grown at 4C,,,,,,,,,,,,
A,3,F2_D1,Grown at 4C,,,,,,,,,,,,
B,3,F2_D2,Grown at 4C,,,,,,,,,,,,
C,3,F2_D1,Grown at 4C,,,,,,,,,,,,
D,3,F2_D1,Grown at 4C,,,,,,,,,,,,
E,3,F2_D2,Grown at 4C,,,,,,,,,,,,
F,3,F2_D1,Grown at 4C,,,,,,,,,,,,
G,3,F2_D2,Grown at 4C,,,,,,,,,,,,
H,3,P_6191,Grown at 4C,,,,,,,,,,,,
A,4,F2_D1,Grown at 4C,,,,,,,,,,,,
B,4,F2_D1,Grown at 4C,,,,,,,,,,,,
C,4,P_6046,Grown at 4C,,,,,,,,,,,,
D,4,F2_D1,Grown at 4C,,,,,,,,,,,,
E,4,F2_D1,Grown at 4C,,,,,,,,,,,,
F,4,F2_D2,Grown at 4C,,,,,,,,,,,,
G,4,F2_D2,Grown at 4C,,,,,,,,,,,,
H,4,F2_D1,Grown at 4C,,,,,,,,,,,,
A,5,F2_D1,Grown at 4C,,,,,,,,,,,,
B,5,F2_D2,Grown at 4C,,,,,,,,,,,,
C,5,F2_D2,Grown at 4C,,,,,,,,,,,,
D,5,F2_D1,Grown at 4C,,,,,,,,,,,,
E,5,F2_D1,Grown at 4C,,,,,,,,,,,,
F,5,F2_D1,Grown at 4C,,,,,,,,,,,,
G,5,F2_D2,Grown at 4C,,,,,,,,,,,,
H,5,F2_D1,Grown at 4C,,,,,,,,,,,,
A,6,F1_D1,Grown at 4C,,,,,,,,,,,,
B,6,F2_D2,Grown at 4C,,,,,,,,,,,,
C,6,F2_D1,Grown at 4C,,,,,,,,,,,,
D,6,F2_D2,Grown at 4C,,,,,,,,,,,,
E,6,F2_D2,Grown at 4C,,,,,,,,,,,,
F,6,F2_D2,Grown at 4C,,,,,,,,,,,,
G,6,F2_D2,Grown at 4C,,,,,,,,,,,,
H,6,F2_D2,Grown at 4C,,,,,,,,,,,,
A,7,P_6046,Grown at 4C,,,,,,,,,,,,
B,7,F2_D1,Grown at 4C,,,,,,,,,,,,
C,7,F2_D1,Grown at 4C,,,,,,,,,,,,
D,7,F2_D1,Grown at 4C,,,,,,,,,,,,
E,7,F2_D2,Grown at 4C,,,,,,,,,,,,
F,7,F2_D2,Grown at 4C,,,,,,,,,,,,
G,7,F2_D2,Grown at 4C,,,,,,,,,,,,
H,7,F2_D2,Grown at 4C,,,,,,,,,,,,
A,8,F2_D1,Grown at 4C,,,,,,,,,,,,
B,8,F2_D1,Grown at 4C,,,,,,,,,,,,
C,8,F2_D2,Grown at 4C,,,,,,,,,,,,
D,8,F2_D1,Grown at 4C,,,,,,,,,,,,
E,8,F2_D1,Grown at 4C,,,,,,,,,,,,
F,8,P_6191,Grown at 4C,,,,,,,,,,,,
G,8,F2_D1,Grown at 4C,,,,,,,,,,,,
H,8,F2_D1,Grown at 4C,,,,,,,,,,,,
A,9,F2_D1,Grown at 4C,,,,,,,,,,,,
B,9,F2_D1,Grown at 4C,,,,,,,,,,,,
C,9,F2_D2,Grown at 4C,,,,,,,,,,,,
D,9,F2_D2,Grown at 4C,,,,,,,,,,,,
E,9,F2_D1,Grown at 4C,,,,,,,,,,,,
F,9,P_6046,Grown at 4C,,,,,,,,,,,,
G,9,F2_D2,Grown at 4C,,,,,,,,,,,,
H,9,F2_D1,Grown at 4C,,,,,,,,,,,,
A,10,F2_D2,Grown at 4C,,,,,,,,,,,,
B,10,F2_D2,Grown at 4C,,,,,,,,,,,,
C,10,F2_D1,Grown at 4C,,,,,,,,,,,,
D,10,F2_D2,Grown at 4C,,,,,,,,,,,,
E,10,F2_D2,Grown at 4C,,,,,,,,,,,,
F,10,F2_D2,Grown at 4C,,,,,,,,,,,,
G,10,F2_D1,Grown at 4C,,,,,,,,,,,,
H,10,F2_D1,Grown at 4C,,,,,,,,,,,,
A,11,F2_D2,Grown at 4C,,,,,,,,,,,,
B,11,F2_D1,Grown at 4C,,,,,,,,,,,,
C,11,F2_D1,Grown at 4C,,,,,,,,,,,,
D,11,F1_D2,Grown at 4C,,,,,,,,,,,,
E,11,F2_D2,Grown at 4C,,,,,,,,,,,,
F,11,F2_D2,Grown at 4C,,,,,,,,,,,,
G,11,F2_D1,Grown at 4C,,,,,,,,,,,,
H,11,F2_D1,Grown at 4C,,,,,,,,,,,,
A,12,F2_D1,Grown at 4C,,,,,,,,,,,,
B,12,F2_D2,Grown at 4C,,,,,,,,,,,,
C,12,F2_D2,Grown at 4C,,,,,,,,,,,,
D,12,F2_D2,Grown at 4C,,,,,,,,,,,,
E,12,F2_D2,Grown at 4C,,,,,,,,,,,,
F,12,F2_D2,Grown at 4C,,,,,,,,,,,,
G,12,F2_D1,Grown at 4C,,,,,,,,,,,,
H,12,F2_D2,Grown at 4C,,,,,,,,,,,,